packet_size,src_port,dest_port,duration,protocol_type,true_label
12812,965,58188,290.08514560940534,3,1
13039,607,53800,171.45198274604084,3,1
979,64981,53,2.4721555882515402,0,0
1556,62282,22,3.7671997864434257,0,0
1439,58027,53,3.7924809039848957,0,0
875,2962,22,4.94342508824986,1,0
1464,38086,53,2.5173918724141178,1,0
1207,50410,80,1.0502101713408212,0,0
1570,41515,22,5.717886588838644,0,0
902,4478,443,2.798785912715139,0,0
1240,24017,22,0.6451076356447176,0,0
1762,10494,53,1.3216408592910038,0,0
1279,43249,80,5.45525492385789,0,0
1328,51314,22,0.3211565036022308,0,0
1712,35153,53,4.636097494853113,1,0
9203,502,57099,35.76528657871882,2,1
1745,34666,80,2.9019854027405168,0,0
1033,52479,80,5.560184013382167,1,0
1636,9391,22,5.501313531039631,0,0
12087,993,57013,279.11448517338783,3,1
15144,315,60659,59.27466201124173,3,1
1755,25691,53,5.309755672930832,0,0
1629,14231,80,3.2588246698138543,0,0
1442,40070,22,5.171177093625792,0,0
16127,1022,59508,246.75636287133756,2,1
1725,1665,443,5.012551494163689,0,0
1044,49810,22,5.2232816619004065,1,0
8828,539,49543,116.71719074721919,2,1
1605,6048,22,3.566449756561425,0,0
15164,6,64969,45.448991680435235,3,1
1443,23082,443,4.67244192476193,0,0
14206,310,62026,191.47753202603928,2,1
10763,328,51032,255.36201285369816,2,1
1625,20772,80,4.109246941400647,0,0
1521,40920,443,0.4497519193172128,0,0
1304,65533,53,2.9507204667667484,1,0
1385,8335,53,2.907031979064558,0,0
11160,544,49650,257.628703635767,3,1
1927,53829,80,0.9386232794008669,0,0
1545,8410,443,5.74212752612407,0,0
13933,233,65370,273.4881971094409,3,1
1297,18653,443,2.258114399470699,0,0
13149,884,64417,72.49910221704832,2,1
1619,17387,22,2.447848566368933,0,0
869,41387,443,0.8570413490477503,1,0
1414,14589,80,3.5811833891331126,1,0
1539,34067,443,4.275521064047858,0,0
1663,56734,443,3.2319819088270347,0,0
1114,27116,80,4.623938906671884,0,0
10686,720,56404,225.08828034044043,3,1
1382,32534,80,0.38848025821908694,1,0
1339,57043,80,4.372502046473637,0,0
1413,64356,53,1.1477028691281665,0,0
1677,15063,53,1.1572983435384872,0,0
1572,42740,22,0.8386652356740028,0,0
1891,18021,443,2.4752100863014785,0,0
1179,65474,53,2.603804138273113,0,0
12784,759,61819,205.44924843692888,2,1
1341,24513,80,2.7223268670662715,0,0
1686,5808,22,0.3465889009810032,0,0
1469,58761,22,5.228449182542918,0,0
1525,60408,443,1.5789646807006614,1,0
969,29570,53,3.4495418159563247,0,0
1851,53822,22,2.40944862249301,0,0
1506,25942,443,2.232866946003065,0,0
12372,413,59666,206.34038508330048,3,1
1682,19119,80,0.6729956833314082,0,0
13639,218,49986,273.19315913451555,3,1
7808,836,50415,159.40697826895484,3,1
1598,53525,22,1.2154395012208676,1,0
981,36391,53,0.15320826477962174,0,0
1569,56202,53,3.2973760381633825,0,0
1462,4760,80,5.590390642108202,0,0
1456,12664,80,0.6032326448465078,0,0
1667,6309,22,0.5741524617357256,0,0
1591,29104,443,0.5833255416839254,0,0
1585,8612,53,3.6433732920925936,0,0
10915,341,65156,276.3784045755589,2,1
11234,360,51568,123.38470880105606,3,1
1531,25029,22,1.1596784712585833,0,0
1805,26960,80,2.8356576891371916,0,0
1537,60762,53,4.465450925721554,0,0
1586,61603,53,4.724330664916984,1,0
1423,24904,53,5.723762547603169,1,0
1337,60045,443,2.5897145939289548,0,0
1767,45175,443,3.9739040858063754,0,0
1528,60591,80,3.5834334699995147,0,0
1796,18117,80,4.631733928308633,0,0
1648,49250,80,0.7802989512886382,0,0
1123,2725,22,0.5262458783440717,0,0
1723,14539,22,4.362979508998697,0,0
1242,4416,53,3.3336856556059025,1,0
1380,36207,443,5.3698579526604915,1,0
13244,709,65098,129.05748196614925,2,1
1468,21546,53,4.648954565140546,0,0
1487,22999,443,2.3880194142714912,0,0
1515,33008,443,1.651464163777984,0,0
16550,487,50799,209.7658406934286,3,1
1442,9055,80,5.870430828059178,0,0
1455,14147,22,1.3317603264633244,0,0
1346,40434,443,3.9965197893040183,0,0
1671,32583,53,3.15734734682296,0,0
1627,18998,22,5.494581592168119,1,0
1585,36048,53,0.40504635131085515,1,0
11223,383,64356,159.4233582681018,3,1
1003,57816,80,3.7087150105215474,0,0
1388,13795,22,0.3317323650946946,0,0
1412,14671,443,3.285246789175375,0,0
13107,524,54184,289.22762232314136,2,1
11814,415,63525,277.57485088576755,2,1
1051,53636,53,3.2294683517133067,0,0
1201,60438,80,1.1730020819061187,0,0
1692,16089,22,1.543486763707521,1,0
1456,16981,443,0.6413275347576177,0,0
1258,22111,53,3.678379364973275,0,0
1639,54892,80,0.3340160485885987,0,0
1571,38950,53,1.8629432235134222,0,0
1471,45861,53,2.17990856208001,0,0
1264,25300,53,4.287048150478775,0,0
1558,16226,80,3.6497682149612967,0,0
1094,60679,80,0.25069413937342794,0,0
1453,62724,53,2.1281261897934516,0,0
1835,14810,53,5.627170400591965,0,0
18827,897,62519,220.29698583320055,3,1
1292,24830,443,1.647896931947593,0,0
1490,11272,22,3.8321238733956857,0,0
1496,64202,80,1.790420785422928,0,0
1739,4223,53,2.491318400681495,0,0
2131,63747,22,2.6568279651311357,0,0
1424,40253,443,5.055784691423226,0,0
1456,21267,443,1.5506994399468137,1,0
15540,761,52735,248.9815942934284,3,1
9161,289,58282,278.54314012501425,3,1
12646,822,63503,258.48982529155603,3,1
1247,50509,80,4.948099155974783,0,0
2231,51099,443,3.76292459296706,1,0
1081,54924,443,0.4546016877030854,0,0
1372,54120,80,2.2237686184836676,0,0
1617,59619,22,3.3331042589449167,0,0
12081,198,50216,123.0590841658563,3,1
1356,59292,22,5.858575977370798,0,0
1551,18892,53,5.588694902841396,0,0
1240,41569,22,0.9370841239358638,0,0
13166,347,55784,140.76372439764333,2,1
1361,41423,443,3.6880337085998707,0,0
1288,10838,53,4.297959131683897,0,0
1697,59129,443,0.45817586012611666,0,0
12527,644,54060,39.831166690306766,2,1
1238,17532,443,5.790697596559874,0,0
1385,27778,80,3.048377595959253,0,0
1152,55962,80,2.2012552004280566,0,0
1011,38473,53,1.217029130916536,0,0
1344,51899,53,3.9030920203008113,0,0
1149,65233,22,5.341558791527617,0,0
1007,3039,53,1.4722638617413466,0,0
1531,58584,80,5.544682425019383,0,0
1484,57684,80,5.891757735171071,1,0
1233,3937,53,1.7722227061109976,1,0
12713,738,51925,283.6759217782669,3,1
1521,25964,80,5.099643410015912,0,0
13816,447,60530,191.25796717236145,2,1
1438,60045,80,5.153915576831414,0,0
1375,3861,80,0.6382833725692233,1,0
1672,60249,443,5.17054158705991,1,0
1276,60815,80,1.2412851826527855,0,0
1673,58028,53,5.968192626600755,0,0
1549,44738,53,3.32793020768992,0,0
9998,572,59531,265.70625682595,2,1
1570,64140,443,4.720103798249909,0,0
13203,425,52592,250.86677938592962,3,1
1345,53189,443,1.07497564541694,0,0
1300,19000,443,0.9239033521645202,0,0
8399,975,60293,219.1948231737521,3,1
1583,63987,443,2.5884209721845473,0,0
1459,34549,22,2.199275274644003,0,0
1928,60354,80,2.002800415698824,1,0
1811,27690,443,2.382287621796413,0,0
1444,24935,53,0.06884551912348193,0,0
1660,65339,22,1.4378632148441635,1,0
1367,34742,53,0.28943050858318453,1,0
1757,39405,80,0.9289549939629335,1,0
947,5203,53,1.1997541493349595,0,0
961,11008,22,4.491192691437165,0,0
1972,40800,22,3.329429378768233,0,0
1332,53181,53,3.9293455805018365,0,0
1519,13833,53,2.7900295014536636,0,0
1543,42910,80,3.1985879964320048,0,0
1178,54765,22,3.0319414399508737,0,0
1370,30093,443,2.826227596941936,0,0
16202,680,57829,246.13325758068436,3,1
12223,742,64481,124.32975159693699,3,1
2038,12167,53,5.773732625155721,0,0
1495,37748,80,2.8334950622767816,0,0
861,1557,22,5.835355826346841,0,0
10237,967,57705,53.583251286879275,3,1
1347,45787,443,1.0194718118658241,1,0
1451,61838,53,0.4654069938390936,0,0
1508,11547,80,2.2682194357590726,1,0
1595,21697,443,5.677143610837243,0,0
14198,264,58261,276.5338080740235,3,1
13241,290,54169,235.79983933586382,3,1
1839,30386,53,4.179418677656164,0,0
1420,63052,22,5.606665956991687,0,0
14123,821,62263,185.28737908371792,3,1
1626,20668,53,2.0881258856731377,0,0
15076,939,53295,193.94740272882873,3,1
1800,5865,53,2.2063433187891444,0,0
1536,13925,22,3.2965647032317125,1,0
2042,61922,80,3.8988183329024686,0,0
10331,376,51973,77.9434233986058,2,1
1565,62951,53,3.984968884912066,0,0
955,11774,53,5.610902059059657,0,0
1464,40942,443,2.68738118108804,0,0
1574,8665,80,0.632733274027993,0,0
1556,43835,80,2.2016172306269026,1,0
1217,41342,80,1.6656242233055902,0,0
2084,16606,443,5.095305919628124,0,0
1812,1910,53,0.1989662006127908,0,0
1951,50925,53,2.262215936417863,0,0
11870,846,50012,220.08783073295348,3,1
1523,41751,443,4.967671205690997,0,0
10463,744,55301,46.32211172492885,3,1
1160,43947,22,1.194845675428479,0,0
1475,1839,22,2.782462478616341,0,0
1685,15575,443,2.0412568094080417,1,0
12133,907,62436,144.52832762588955,3,1
10430,304,52227,282.11538462271733,2,1
1474,62541,53,0.5048418532541807,0,0
10880,854,52476,176.40931686876164,3,1
1159,25733,53,5.53661631929594,0,0
1647,14888,53,5.205170020672704,0,0
1512,43775,80,1.3974405923604267,0,0
1495,2638,80,2.5221184158626393,0,0
1549,46504,53,1.9670510313553786,1,0
1389,60256,80,4.991338320685415,0,0
1401,48982,22,4.117305958282023,0,0
1656,19312,443,0.9947189034092105,0,0
1880,48949,80,2.669302889177462,0,0
1150,39200,22,3.1654234097024623,0,0
1918,26581,22,0.5477972898045399,0,0
1219,24470,22,4.499958911455195,0,0
1188,36282,443,3.107733039670553,1,0
1755,26981,22,0.5466423063326455,0,0
1475,6214,80,3.865229191898397,0,0
1483,13707,80,4.867431375819188,0,0
14264,734,50470,290.92134395848785,3,1
8524,929,57559,158.04682915807277,3,1
5840,376,55556,139.64655225070234,3,1
15289,472,60335,90.11634854343416,3,1
12302,481,58922,140.9313231595019,2,1
1918,64189,443,0.4338500338913013,0,0
1346,37031,22,2.6108360771956485,0,0
1762,52993,53,4.662099446069766,0,0
1569,11271,443,0.750175250239529,1,0
1759,28225,443,4.7977832868099135,0,0
10382,800,55178,273.6119348643409,3,1
1562,61790,22,5.169185046297994,0,0
1503,35272,53,0.08535344727390876,0,0
1743,21162,443,5.9213148044440675,0,0
11452,283,64883,158.88918553857982,3,1
1275,29606,443,1.4798192096198377,0,0
1270,7071,443,4.259942467719952,0,0
1523,51931,80,4.291789452670783,0,0
921,5545,53,2.9563934193871146,0,0
16006,468,57997,109.93536608651085,3,1
1466,10267,53,0.7021073284940058,0,0
1190,64793,80,2.696734082707856,0,0
8821,400,57339,104.85562079947847,3,1
1252,21336,22,3.863779378526718,0,0
9793,750,63381,121.3931950037295,2,1
1432,1658,53,1.8266030999153413,0,0
1442,20429,53,1.1212969048023735,0,0
1479,1591,80,4.04990237544157,0,0
14754,221,53113,275.46620040034816,3,1
11847,858,57126,238.17787875674017,3,1
1591,45001,22,0.9911108479360853,0,0
1711,48482,443,2.6286027291127856,0,0
1620,48974,53,4.116388212987122,0,0
1612,57036,53,1.2963371692411516,0,0
1241,57424,443,5.293075959521138,0,0
1475,53243,22,5.784417517156738,0,0
11193,266,52385,231.325144548324,3,1
13184,294,61779,293.6876973648669,2,1
1180,31239,443,1.6697018649966653,1,0
1879,52567,53,4.159801220662365,0,0
1175,30307,80,1.0343777581123226,0,0
1718,34977,443,0.9593276574690592,0,0
1517,59537,22,3.462954427436629,1,0
1763,8665,53,5.217368780213593,0,0
16711,967,65289,57.49124272143088,2,1
1189,56454,80,2.1835442890361247,0,0
1485,59976,22,3.4533520745749136,1,0
1358,50781,22,2.4202141656971587,0,0
1156,42642,22,1.1985651651752105,1,0
1397,8293,443,4.86699660244416,0,0
16849,567,62669,213.77182596061783,2,1
1560,7496,80,0.7944411499144389,0,0
2100,64374,80,4.580613113656371,0,0
